constellation,stake,loadout,runs,winRate,meanAnte,meanScore,medianScore
triumvirate,beacon,combo_synergy,100,0,1,206,236
triumvirate,nova,combo_synergy,100,0,1,193,91
triumvirate,supernova,combo_synergy,100,0,1,207,97
argo,spark,combo_synergy,100,0,1,201,204
argo,ember,combo_synergy,100,0,1,214,213
argo,pyre,combo_synergy,100,0,1,206,204
argo,beacon,combo_synergy,100,0,1,133,135
argo,nova,combo_synergy,100,0,1,125,127
argo,supernova,combo_synergy,100,0,1,125,127
fibonacci,spark,combo_synergy,100,0,1.47,1045,943
fibonacci,ember,combo_synergy,100,0,1.4,1150,956
fibonacci,pyre,combo_synergy,100,0,1.21,901,858
fibonacci,beacon,combo_synergy,100,0,1.02,850,634
fibonacci,nova,combo_synergy,100,0,1.01,696,553
fibonacci,supernova,combo_synergy,100,0,1.01,664,529
eclipse,spark,combo_synergy,100,0,1.14,571,282
eclipse,ember,combo_synergy,100,0,1.09,676,282
eclipse,pyre,combo_synergy,100,0,1.09,676,282
eclipse,beacon,combo_synergy,100,0,1,446,177
eclipse,nova,combo_synergy,100,0,1,465,177
eclipse,supernova,combo_synergy,100,0,1,517,177
polyhedra,spark,combo_synergy,100,0,1.05,673,746
polyhedra,ember,combo_synergy,100,0,1.04,750,791
polyhedra,pyre,combo_synergy,100,0,1,666,741
polyhedra,beacon,combo_synergy,100,0,1,433,436
polyhedra,nova,combo_synergy,100,0,1,382,392
polyhedra,supernova,combo_synergy,100,0,1,390,416
ophiuchus,spark,combo_synergy,100,0,1.03,573,398
ophiuchus,ember,combo_synergy,100,0,1.02,550,392
ophiuchus,pyre,combo_synergy,100,0,1,397,369
ophiuchus,beacon,combo_synergy,100,0,1,320,267
ophiuchus,nova,combo_synergy,100,0,1,272,268
ophiuchus,supernova,combo_synergy,100,0,1,285,268
lyra,spark,economy,100,0,1.14,691,573
lyra,ember,economy,100,0,1.07,746,654
lyra,pyre,economy,100,0,1.01,487,458
lyra,beacon,economy,100,0,1,333,324
lyra,nova,economy,100,0,1,289,284
lyra,supernova,economy,100,0,1,315,290
mensa,spark,economy,100,0,1.01,339,244
mensa,ember,economy,100,0,1,352,239
mensa,pyre,economy,100,0,1,264,221
mensa,beacon,economy,100,0,1,159,129
mensa,nova,economy,100,0,1,170,122
mensa,supernova,economy,100,0,1,191,133
triumvirate,spark,economy,100,0,1,149,125
triumvirate,ember,economy,100,0,1,149,127
triumvirate,pyre,economy,100,0,1,112,109
triumvirate,beacon,economy,100,0,1,81,62
triumvirate,nova,economy,100,0,1,73,44
triumvirate,supernova,economy,100,0,1,78,49
argo,spark,economy,100,0,1.02,481,297
argo,ember,economy,100,0,1,412,312
argo,pyre,economy,100,0,1,389,300
argo,beacon,economy,100,0,1,199,202
argo,nova,economy,100,0,1,187,191
argo,supernova,economy,100,0,1,187,191
fibonacci,spark,economy,100,0,1.24,985,807
fibonacci,ember,economy,100,0,1.23,1011,838
fibonacci,pyre,economy,100,0,1.09,742,608
fibonacci,beacon,economy,100,0,1.03,497,386
fibonacci,nova,economy,100,0,1.02,395,341
fibonacci,supernova,economy,100,0,1,471,345
eclipse,spark,economy,100,0,1,502,497
eclipse,ember,economy,100,0,1,514,507
eclipse,pyre,economy,100,0,1,514,507
eclipse,beacon,economy,100,0,1,304,193
eclipse,nova,economy,100,0,1,299,326
eclipse,supernova,economy,100,0,1,314,338
polyhedra,spark,economy,100,0,1.01,482,454
polyhedra,ember,economy,100,0,1,501,417
polyhedra,pyre,economy,100,0,1,291,222
polyhedra,beacon,economy,100,0,1,239,276
polyhedra,nova,economy,100,0,1,192,134
polyhedra,supernova,economy,100,0,1,191,134
ophiuchus,spark,economy,100,0,1,301,209
ophiuchus,ember,economy,100,0,1,327,242
ophiuchus,pyre,economy,100,0,1,197,153
ophiuchus,beacon,economy,100,0,1,151,112
ophiuchus,nova,economy,100,0,1,127,91
ophiuchus,supernova,economy,100,0,1,148,99
lyra,spark,legendary_only,100,0,1.23,434,437
lyra,ember,legendary_only,100,0,1.2,491,425
lyra,pyre,legendary_only,100,0,1.03,381,342
lyra,beacon,legendary_only,100,0,1,312,255
lyra,nova,legendary_only,100,0,1,287,246
lyra,supernova,legendary_only,100,0,1,300,255
mensa,spark,legendary_only,100,0,1.02,346,298
mensa,ember,legendary_only,100,0,1.02,331,306
mensa,pyre,legendary_only,100,0,1,294,267
mensa,beacon,legendary_only,100,0,1,212,212
mensa,nova,legendary_only,100,0,1,214,203
mensa,supernova,legendary_only,100,0,1,221,203
triumvirate,spark,legendary_only,100,0,1,209,204
triumvirate,ember,legendary_only,100,0,1,224,213
triumvirate,pyre,legendary_only,100,0,1,188,192
triumvirate,beacon,legendary_only,100,0,1,133,118
triumvirate,nova,legendary_only,100,0,1,127,106
triumvirate,supernova,legendary_only,100,0,1,127,106
argo,spark,legendary_only,100,0,1,94,91
argo,ember,legendary_only,100,0,1,94,91
argo,pyre,legendary_only,100,0,1,87,87
argo,beacon,legendary_only,100,0,1,57,57
argo,nova,legendary_only,100,0,1,53,54
argo,supernova,legendary_only,100,0,1,53,54
fibonacci,spark,legendary_only,100,0,1.34,661,512
fibonacci,ember,legendary_only,100,0,1.26,811,527
fibonacci,pyre,legendary_only,100,0,1.12,637,449
fibonacci,beacon,legendary_only,100,0,1,487,284
fibonacci,nova,legendary_only,100,0,1,353,267
fibonacci,supernova,legendary_only,100,0,1,345,273
eclipse,spark,legendary_only,100,0,1.14,484,162
eclipse,ember,legendary_only,100,0,1.08,612,162
